,Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty,"ï»¿""Symbol"""
55,,EQ,24-Apr-2023,"2,882.10","2,882.10","2,898.00","2,852.00","2,897.75","2,891.10","2,875.04","7,82,967","2,25,10,59,008.65","47,584","4,78,537",61.12,ASIANPAINT
56,,EQ,25-Apr-2023,"2,891.10","2,891.05","2,901.75","2,864.15","2,896.95","2,898.00","2,889.28","6,36,120","1,83,79,29,855.25","38,261","3,29,530",51.80,ASIANPAINT
57,,EQ,26-Apr-2023,"2,898.00","2,896.95","2,916.45","2,888.05","2,910.10","2,910.00","2,905.24","5,69,221","1,65,37,25,524.85","42,452","2,98,009",52.35,ASIANPAINT
58,,EQ,27-Apr-2023,"2,910.00","2,915.50","2,920.00","2,893.85","2,903.25","2,899.95","2,900.60","5,99,461","1,73,87,98,605.70","40,939","3,57,107",59.57,ASIANPAINT
59,,EQ,28-Apr-2023,"2,899.95","2,919.95","2,919.95","2,846.60","2,894.00","2,902.35","2,884.81","10,80,665","3,11,75,13,630.20","57,392","5,71,408",52.88,ASIANPAINT
60,,EQ,02-May-2023,"2,902.35","2,910.95","2,933.70","2,893.00","2,897.00","2,899.55","2,908.24","6,63,800","1,93,04,92,996.10","70,947","3,45,898",52.11,ASIANPAINT
61,,EQ,03-May-2023,"2,899.55","2,918.00","2,962.40","2,897.00","2,930.00","2,929.70","2,934.12","12,37,193","3,63,00,68,174.70","83,740","4,75,100",38.40,ASIANPAINT
62,,EQ,04-May-2023,"2,929.70","2,948.00","2,986.15","2,922.15","2,978.00","2,982.85","2,966.30","10,08,540","2,99,16,35,748.40","98,527","4,34,230",43.06,ASIANPAINT
63,,EQ,05-May-2023,"2,982.85","2,971.00","3,025.00","2,951.05","3,005.15","3,012.95","2,994.76","13,26,561","3,97,27,30,988.60","86,317","6,65,716",50.18,ASIANPAINT
64,,EQ,08-May-2023,"3,012.95","3,015.00","3,035.70","2,993.00","3,019.00","3,019.45","3,017.67","9,41,879","2,84,22,83,880.40","68,320","5,01,055",53.20,ASIANPAINT
65,,EQ,09-May-2023,"3,019.45","3,016.05","3,074.80","3,010.75","3,033.00","3,034.80","3,047.51","10,25,850","3,12,62,87,115.85","89,362","4,41,123",43.00,ASIANPAINT
66,,EQ,10-May-2023,"3,034.80","3,042.95","3,057.00","3,018.90","3,039.65","3,041.40","3,038.43","7,51,851","2,28,44,46,148.65","45,838","4,62,002",61.45,ASIANPAINT
67,,EQ,11-May-2023,"3,041.40","3,052.05","3,156.15","3,031.50","3,143.00","3,139.75","3,096.23","32,29,605","9,99,96,10,804.45","1,87,556","11,10,507",34.39,ASIANPAINT
68,,EQ,12-May-2023,"3,139.75","3,139.00","3,179.75","3,086.00","3,134.00","3,131.10","3,142.08","19,98,170","6,27,84,11,068.70","1,31,411","6,72,611",33.66,ASIANPAINT
69,,EQ,15-May-2023,"3,131.10","3,134.20","3,168.00","3,121.05","3,128.50","3,132.00","3,149.90","8,10,281","2,55,23,06,646.95","61,904","4,27,063",52.71,ASIANPAINT
70,,EQ,16-May-2023,"3,132.00","3,132.00","3,165.70","3,122.35","3,135.00","3,138.10","3,147.85","8,22,404","2,58,88,02,311.35","68,581","4,70,599",57.22,ASIANPAINT
71,,EQ,17-May-2023,"3,138.10","3,136.00","3,147.95","3,075.55","3,096.00","3,092.45","3,100.01","8,35,371","2,58,96,61,628.75","69,335","4,32,512",51.77,ASIANPAINT
