Key,P/E Ratio
Cyient DLM Limited,106.22274
AGI Greenpac Limited,18.822891
KPI Green Energy Limited,53.54374
HeidelbergCement India Limited,40.378525
TCI Express Limited,38.523518
VST Industries Limited,19.984957
Greenpanel Industries Limited,25.723291
Dodla Dairy Limited,41.792175
Ahluwalia Contracts (India) Limited,26.675734
Rain Industries Limited,21.687422
Gateway Distriparks Limited,21.72447
Orient Cement Limited,37.568806
Ethos Limited,85.22388
Healthcare Global Enterprises Limited,137.70833
Gokaldas Exports Limited,40.319294
Prudent Corporate Advisory Services Limited,42.3011
ITD Cementation India Limited,30.143131
Black Box Limited,53.62669
Rallis India Limited,50.614033
Orient Electric Limited,48.68009
Dhanuka Agritech Limited,22.50558
West Coast Paper Mills Limited,5.0968676
Wonderla Holidays Limited,28.46546
D.B.Corp Limited,16.222166
MAS Financial Services Limited,22.70202
LLOYDS ENGINEERING WORKS LIMITED,102.71739
Kewal Kiran Clothing Limited,31.878637
Mstc Limited,31.67585
The Tinplate Company of India Limited,48.37079
Patel Engineering Limited,29.67249
Tilaknagar Industries Limited,22.025665
Pricol Limited,38.88889
Shanthi Gears Limited,55.44995
Hinduja Global Solutions Limited,39.134964
Privi Speciality Chemicals Limited,95.648285
Choice International Limited,45.065895
Aarti Pharmalabs Limited,24.78708
Banco Products (I) Limited,17.559748
NOCIL Limited,41.117107
Jayaswal Neco Industries Limited,21.295454
Welspun Enterprises Limited,7.346305
Aarti Drugs Limited,26.972874
IIFL Securities Limited,12.269401
National Fertilizers Limited,54.103138
Jamna Auto Industries Limited,24.651163
Puravankara Limited,80.75235
Rossari Biotech Limited,34.892067
TIPS Industries Limited,45.93985
J.Kumar Infraprojects Limited,15.977772
Gallantt Ispat Limited,25.694275
Datamatics Global Services Limited,19.042137
Sai Silks (Kalamandir) Limited,39.365612
Sula Vineyards Limited,60.533707
HMA Agro Industries Limited,26.775362
Advanced Enzyme Technologies Limited,33.838566
India Pesticides Limited,45.21839
Sindhu Trade Links Limited,71.447365
DCB Bank Limited,8.277006
Paisalo Digital Limited,40.564785
Ami Organics Limited,79.51432
La Opala RG Limited,32.612206
Thangamayil Jewellery Limited,34.1824
Sharda Cropchem Limited,40.574535
Steel Strips Wheels Limited,20.9522
TD Power Systems Limited,40.80272
JTL INDUSTRIES LIMITED,50.803402
Epigral Limited,22.173683
Time Technoplast Limited,15.678733
TARC Limited,408.20514
Fineotex Chemical Limited,34.76241
Rajratan Global Wire Limited,47.281075
LG Balakrishnan & Bros Limited,15.72143
Nucleus Software Exports Limited,20.83049
Lux Industries Limited,35.86519
Ashoka Buildcon Limited,14.23749
Delta Corp Limited,16.488596
Brightcom Group Limited,2.8459344
Neogen Chemicals Limited,76.751205
VA Tech Wabag Limited,91.031
Sharda Motor Industries Limited,16.795465
Jtekt India Limited,46.637424
India Tourism Development Corporation Limited,88.88695
Borosil Limited,52.20238
Ashapura Minechem Limited,16.50217
IFB Industries Limited,181.56558
Sudarshan Chemical Industries Limited,11.428572
Sunflag Iron And Steel Company Limited,25.587269
Hathway Cable & Datacom Limited,82.413795
Hikal Limited,44.773754
Tatva Chintan Pharma Chem Limited,79.45672
Balmer Lawrie & Company Limited,23.731976
Bharat Rasayan Limited,48.66554
Kolte - Patil Developers Limited,53.079304
HLE Glascoat Limited,63.6742
Hindware Home Innovation Limited,53.849712
Indoco Remedies Limited,33.511795
Avalon Technologies Limited,57.27372
Orchid Pharma Limited,33.592274
Harsha Engineers International Limited,33.216667
KDDL Limited,38.32985
Sanghvi Movers Limited,23.231245
Subros Limited,50.266563
Pilani Investment and Industries Corporation Limited,18.829424
Gulf Oil Lubricants India Limited,14.910317
eMudhra Limited,55.300484
Ideaforge Technology Limited,452.9618
Kirloskar Industries Limited,15.969408
Ganesh Housing Corporation Limited,14.937608
Dynamatic Technologies Limited,54.473953
Maithan Alloys Limited,10.879105
TVS Srichakra Limited,32.86362
Landmark Cars Limited,40.938908
Kaveri Seed Company Limited,12.557568
Navneet Education Limited,17.543253
Tasty Bite Eatables Limited,82.573524
Thyrocare Technologies Limited,54.321583
Saksoft Limited,35.465515
Tata Metaliks Limited,29.384018
Cartrade Tech Limited,70.77865
Dalmia Bharat Sugar and Industries Limited,10.576821
Nilkamal Limited,22.753817
Sagar Cements Limited,75.26913
DCX Systems Limited,37.775936
Polyplex Corporation Limited,44.856575
Transformers And Rectifiers (India) Limited,341.48514
Shalby Limited,43.395836
V.S.T Tillers Tractors Limited,21.29992
Garware Hi-Tech Films Limited,23.468006
NRB Bearing Limited,34.186047
Sundaram Finance Holdings Limited,12.686517
Automotive Axles Limited,16.372099
Yatharth Hospital & Trauma Care Services Limited,38.43907
Bannari Amman Sugars Limited,19.58828
Gufic Biosciences Limited,40.48881
Shivalik Bimetal Controls Limited,42.357807
Bajaj Consumer Care Limited,20.239191
Inox Green Energy Services Limited,691.5789
Somany Ceramics Limited,39.70292
Mold-Tek Packaging Limited,39.59648
Divgi Torqtransfer Systems Limited,62.17377
Prakash Industries Limited,13.769035
Sandhar Technologies Limited,30.493187
Greenply Industries Limited,49.215294
Swaraj Engines Limited,20.903831
Wendt (India) Limited,64.28061
Stylam Industries Limited,24.999998
Cigniti Technologies Limited,14.945588
MPS Limited,21.180353
IFGL Refractories Limited,25.963318
Kingfa Science & Technology (India) Limited,22.404364
Dreamfolks Services Limited,40.25164
Imagicaaworld Entertainment Limited,25.819113
Mukand Limited,13.389336
Venus Pipes & Tubes Limited,46.668804
CARE Ratings Limited,35.523705
Pearl Global Industries Limited,14.546456
Heritage Foods Limited,41.42578
Bombay Super Hybrid Seeds Limited,127.487434
Tarsons Products Limited,42.718994
Paras Defence and Space Technologies Limited,86.47186
Fiem Industries Limited,20.967386
PSP Projects Limited,17.330063
ISMT Limited,19.473198
Venky's (India) Limited,29.302273
Bharat Bijlee Limited,27.222996
Parag Milk Foods Limited,31.848484
Den Networks Limited,10.5762415
