,Date,OpenPrice,ClosePrice,HighPrice,LowPrice
216,13-Dec-2023,2080.90,2083.95,2092.95,2037.30
217,14-Dec-2023,2094.95,2103.90,2111.95,2081.95
218,15-Dec-2023,2116.00,2127.70,2132.75,2102.00
219,18-Dec-2023,2127.70,2109.75,2127.70,2102.00
220,19-Dec-2023,2107.05,2118.25,2137.80,2089.20
221,20-Dec-2023,2134.00,2063.55,2135.60,2053.55
222,21-Dec-2023,2050.00,2085.60,2090.85,2050.00
223,22-Dec-2023,2089.00,2046.20,2096.60,2034.90
224,26-Dec-2023,2051.00,2069.55,2083.00,2049.00
225,27-Dec-2023,2078.95,2124.80,2130.85,2071.60
226,28-Dec-2023,2129.00,2139.95,2148.25,2106.30
227,29-Dec-2023,2140.30,2134.80,2145.00,2115.00
228,01-Jan-2024,2145.00,2127.30,2175.00,2112.00
229,02-Jan-2024,2129.90,2101.45,2130.40,2088.00
230,03-Jan-2024,2090.00,2072.20,2120.00,2066.10
231,04-Jan-2024,2090.00,2070.20,2095.00,2059.40
232,05-Jan-2024,2098.00,2079.50,2099.00,2053.55
233,08-Jan-2024,2079.50,2067.70,2083.70,2057.90
234,09-Jan-2024,2082.15,2064.05,2092.75,2058.85
235,10-Jan-2024,2058.80,2068.55,2074.45,2040.85
236,11-Jan-2024,2069.95,2083.70,2096.30,2051.00
237,12-Jan-2024,2083.00,2111.55,2120.90,2075.00
238,15-Jan-2024,2111.75,2101.00,2122.95,2093.70
239,16-Jan-2024,2092.55,2115.20,2119.80,2090.10
240,17-Jan-2024,2112.60,2067.85,2115.20,2056.00
241,18-Jan-2024,2067.00,2053.65,2069.00,2036.20
242,19-Jan-2024,2056.45,2081.20,2094.00,2052.35
243,20-Jan-2024,2095.00,2081.20,2099.90,2070.00
244,23-Jan-2024,2078.10,2049.60,2086.40,2032.50
245,24-Jan-2024,2069.00,2071.30,2080.75,2016.55
246,25-Jan-2024,2071.30,2060.70,2071.30,2060.00
247,25-Jan-2024,2079.95,2076.50,2087.35,2052.15
